Date,Time(ET),Symbol,Side,Action,Qty,Price,Notional,Reason,OrderID
2026-07-27,10:00,SOXS,long,ENTRY,10,53.18,531.84,ORB long stop49.55 trail1.71,
2026-07-27,10:00,NOK,short,ENTRY,110,9.16,1007.60,ORB short stop9.36 trail0.11,
2026-07-27,10:50,SOXS,long,EXIT,7,57.95,,trail-stop-partial,
2026-07-27,10:50,NOK,short,EXIT,2,8.99,,trail-stop-partial,
2026-07-27,10:55,INTC,short,EXIT,16,88.70,,trail-stop,
2026-07-27,11:15,CLF,short,ENTRY,112,11.83,1324.96,ORB short stop12.28 trail0.20,
2026-07-27,14:55,CLF,short,EXIT,112,11.68,,trail-stop,
2026-07-27,15:50,SOXS,long,EXIT,1,55.26,,eod-flatten,
2026-07-27,15:55,NOK,short,EXIT,108,8.99,,trail-stop,
2026-07-28,09:55,SKHY,short,ENTRY,6,129.14,774.84,ORB short stop136.45 trail4.09,
2026-07-28,09:55,NVD,long,ENTRY,369,5.42,1999.98,ORB long stop5.31 trail0.06,
2026-07-28,09:55,NOK,short,ENTRY,135,8.68,1171.80,ORB short stop9.05 trail0.13,
2026-07-28,09:55,DRAM,short,ENTRY,32,46.68,1493.65,ORB short stop48.39 trail1.44,
2026-07-28,10:05,NVD,long,EXIT,369,5.36,,trail-stop,
2026-07-28,10:05,INTC,short,ENTRY,16,84.85,1357.60,ORB short stop87.91 trail1.50,
