Date,Time(ET),Symbol,Side,Action,Qty,Price,Notional,Reason,OrderID
2026-06-16,10:05,MRVL,long,EXIT,3,309.85,,trail-stop,
2026-06-16,10:15,NOK,short,ENTRY,102,14.29,1457.58,ORB short stop14.78 trail0.25,
2026-06-16,10:15,SMCI,short,ENTRY,64,29.93,1915.52,ORB short stop30.70 trail0.48,
2026-06-16,10:25,ONDS,short,ENTRY,106,9.25,980.48,ORB short stop9.74 trail0.19,
2026-06-16,10:40,ACHR,short,EXIT,367,5.30,,trail-stop,
2026-06-16,10:40,SQQQ,long,ENTRY,53,37.07,1964.57,ORB long stop36.38 trail0.44,
2026-06-16,10:45,ONDS,short,EXIT,106,9.33,,trail-stop,
2026-06-16,10:55,SMCI,short,EXIT,64,29.68,,trail-stop,
2026-06-16,12:05,SQQQ,long,EXIT,52,37.55,,trail-stop-partial,
2026-06-16,14:35,NOK,short,EXIT,102,14.02,,trail-stop,
2026-06-16,15:50,SQQQ,long,EXIT,1,37.98,,eod-flatten,
2026-06-17,10:00,MRVL,short,ENTRY,4,283.76,1135.04,ORB short stop295.16 trail5.86,
2026-06-17,10:00,INTC,short,ENTRY,12,118.29,1419.44,ORB short stop122.32 trail2.63,
2026-06-17,10:10,NOK,short,ENTRY,93,13.84,1287.12,ORB short stop14.37 trail0.20,
2026-06-17,10:15,MRVL,short,EXIT,4,289.38,,trail-stop,
2026-06-17,10:30,INTC,short,EXIT,12,120.83,,trail-stop,
2026-06-17,11:00,NOK,short,EXIT,93,13.93,,trail-stop,
2026-06-23,09:50,KEEL,long,ENTRY,114,6.49,740.37,ORB long stop6.04 trail0.26,
2026-06-23,09:50,NOK,long,ENTRY,129,13.64,1759.56,ORB long stop13.22 trail0.15,
2026-06-23,10:00,MARA,long,ENTRY,52,14.94,777.04,ORB long stop13.98 trail0.29,
2026-06-23,10:25,MARA,long,EXIT,52,15.18,,trail-stop,
2026-06-23,10:35,NOK,long,EXIT,129,13.74,,trail-stop,
2026-06-23,10:50,KEEL,long,EXIT,114,6.61,,trail-stop,
2026-06-23,11:10,NFLX,short,ENTRY,27,72.84,1966.68,ORB short stop73.89 trail0.73,
2026-06-23,11:20,PLTR,short,ENTRY,16,118.29,1892.59,ORB short stop120.87 trail1.20,
2026-06-23,14:35,NFLX,short,EXIT,27,73.49,,trail-stop,
2026-06-23,15:55,PLTR,short,EXIT,16,116.77,,trail-stop,
2026-06-24,10:00,T,short,ENTRY,88,22.54,1983.63,ORB short stop22.89 trail0.23,
2026-06-24,10:20,T,short,EXIT,88,22.65,,trail-stop,
2026-06-24,10:20,KEEL,short,ENTRY,61,6.02,367.22,ORB short stop6.88 trail0.30,
2026-06-24,10:20,SQQQ,long,ENTRY,49,40.27,1973.23,ORB long stop39.18 trail0.68,
2026-06-24,10:20,NVD,long,ENTRY,379,5.29,2004.91,ORB long stop5.15 trail0.07,
2026-06-24,10:25,SPCX,long,ENTRY,7,157.69,1103.83,ORB long stop150.79 trail4.85,
2026-06-24,10:30,SQQQ,long,EXIT,49,39.73,,trail-stop,
2026-06-24,10:30,NVD,long,EXIT,379,5.23,,trail-stop,
2026-06-24,10:50,INTC,long,ENTRY,9,135.17,1216.57,ORB long stop130.04 trail2.69,
2026-06-24,12:40,INTC,long,EXIT,9,133.33,,trail-stop,
2026-06-24,13:35,SPCX,long,EXIT,7,154.74,,trail-stop,
2026-06-24,15:55,KEEL,short,EXIT,59,6.02,,trail-stop-partial,
2026-06-24,16:00,KEEL,short,EXIT,2,6.11,,trail-stop,
2026-06-25,09:50,KEEL,short,ENTRY,72,5.73,412.59,ORB short stop6.41 trail0.21,
2026-06-25,09:50,ONDS,short,ENTRY,156,7.60,1185.54,ORB short stop7.93 trail0.14,
2026-06-25,09:50,BITO,short,ENTRY,233,8.06,1877.98,ORB short stop8.29 trail0.08,
2026-06-25,09:50,NVD,long,ENTRY,116,5.53,641.48,ORB long stop5.19 trail0.11,
2026-06-25,10:05,BITO,short,EXIT,228,7.96,,trail-stop-partial,
2026-06-25,10:05,NVD,long,EXIT,85,5.53,,trail-stop-partial,
2026-06-25,10:10,ONDS,short,EXIT,156,7.45,,trail-stop,
2026-06-25,10:15,KEEL,short,EXIT,72,5.71,,trail-stop,
2026-06-25,10:35,AAL,long,ENTRY,112,17.83,1996.96,ORB long stop17.48 trail0.28,
2026-06-25,11:10,AAL,long,EXIT,112,17.76,,trail-stop,
2026-06-25,11:15,IBIT,short,ENTRY,39,33.36,1301.04,ORB short stop34.65 trail0.47,
2026-06-25,12:10,IBIT,short,EXIT,39,33.74,,trail-stop,
2026-06-25,15:50,BITO,short,EXIT,5,8.05,,eod-flatten,
2026-06-25,15:55,NVD,long,EXIT,29,5.53,,trail-stop-partial,
2026-06-25,16:00,NVD,long,EXIT,2,5.53,,trail-stop,
2026-06-26,09:55,BITO,long,ENTRY,246,8.13,1999.98,ORB long stop7.99 trail0.08,
2026-06-26,09:55,IBIT,long,ENTRY,59,33.82,1995.39,ORB long stop33.27 trail0.34,
2026-06-26,10:00,DRAM,long,ENTRY,25,73.28,1832.11,ORB long stop71.34 trail1.74,
2026-06-26,10:05,INTC,long,ENTRY,10,130.16,1301.60,ORB long stop125.60 trail3.53,
2026-06-26,10:40,BITO,long,EXIT,246,8.10,,trail-stop,
2026-06-26,10:40,IBIT,long,EXIT,59,33.75,,trail-stop,
2026-06-26,10:40,DRAM,long,EXIT,25,73.03,,trail-stop,
2026-06-26,10:40,AAPL,long,ENTRY,7,279.22,1954.54,ORB long stop274.25 trail2.88,
2026-06-26,11:15,INTC,long,EXIT,10,127.65,,trail-stop,
2026-06-26,11:45,AAPL,long,EXIT,7,277.56,,trail-stop,
2026-06-29,09:50,WEN,long,ENTRY,121,7.67,928.07,ORB long stop7.41 trail0.36,
2026-06-29,09:50,NFLX,long,ENTRY,26,75.41,1960.62,ORB long stop74.09 trail1.37,
2026-06-29,10:00,KEEL,short,ENTRY,110,5.73,630.30,ORB short stop6.19 trail0.26,
2026-06-29,10:00,NOK,short,ENTRY,28,12.45,348.56,ORB short stop12.86 trail0.16,
2026-06-29,10:25,WEN,long,EXIT,95,7.67,,trail-stop-partial,
2026-06-29,10:30,KEEL,short,EXIT,109,5.68,,trail-stop-partial,
2026-06-29,12:45,NFLX,long,EXIT,26,74.69,,trail-stop,
2026-06-29,15:50,KEEL,short,EXIT,1,5.83,,eod-flatten,
2026-06-29,15:50,WEN,long,EXIT,26,8.16,,eod-flatten,
2026-06-29,15:55,NOK,short,EXIT,28,12.80,,trail-stop,
2026-06-30,09:50,SMCI,long,ENTRY,62,28.77,1784.00,ORB long stop28.18 trail0.59,
2026-06-30,09:55,INTC,long,ENTRY,11,136.09,1497.04,ORB long stop131.60 trail2.02,
2026-06-30,09:55,TQQQ,long,ENTRY,25,79.34,1983.50,ORB long stop77.18 trail0.88,
2026-06-30,10:10,TSLA,long,ENTRY,4,414.10,1656.40,ORB long stop406.39 trail4.14,
2026-06-30,10:50,SMCI,long,EXIT,56,29.20,,trail-stop-partial,
2026-06-30,10:55,TQQQ,long,EXIT,25,79.39,,trail-stop,
2026-06-30,14:25,INTC,long,EXIT,11,140.32,,trail-stop,
2026-06-30,15:55,SMCI,long,EXIT,4,29.20,,trail-stop-partial,
2026-06-30,15:55,TSLA,long,EXIT,4,421.53,,trail-stop,
2026-06-30,16:00,SMCI,long,EXIT,2,29.20,,trail-stop,
2026-07-01,09:50,INTC,long,ENTRY,14,135.32,1894.48,ORB long stop132.49 trail2.52,
2026-07-01,10:05,INTC,long,EXIT,14,133.21,,trail-stop,
2026-07-01,10:05,QXO,long,ENTRY,112,17.72,1984.64,ORB long stop17.25 trail0.48,
2026-07-01,10:10,TSLL,long,ENTRY,96,14.59,1400.64,ORB long stop14.05 trail0.27,
2026-07-01,11:00,TSLL,long,EXIT,96,14.48,,trail-stop,
2026-07-01,11:40,QXO,long,EXIT,112,17.63,,trail-stop,
2026-07-02,09:50,SPCX,long,ENTRY,12,160.12,1921.47,ORB long stop156.84 trail3.00,
2026-07-02,09:50,NKE,long,ENTRY,44,44.97,1978.68,ORB long stop43.92 trail0.66,
2026-07-02,09:50,CRWV,long,ENTRY,21,86.67,1820.07,ORB long stop84.39 trail1.92,
2026-07-02,09:55,INTC,long,ENTRY,9,129.66,1166.97,ORB long stop124.51 trail2.62,
2026-07-02,10:10,NKE,long,EXIT,44,44.36,,trail-stop,
2026-07-02,10:20,CRWV,long,EXIT,21,86.20,,trail-stop,
2026-07-02,10:20,INTC,long,EXIT,9,128.14,,trail-stop,
2026-07-02,10:25,DRAM,short,ENTRY,27,63.78,1722.16,ORB short stop65.49 trail1.43,
2026-07-02,10:45,SPCX,long,EXIT,12,158.12,,trail-stop,
2026-07-02,10:45,NVD,long,ENTRY,370,5.40,1998.00,ORB long stop5.31 trail0.08,
2026-07-02,11:35,DRAM,short,EXIT,27,62.08,,trail-stop,
2026-07-02,11:45,NVD,long,EXIT,370,5.42,,trail-stop,
2026-07-06,09:50,ONDS,long,ENTRY,166,7.62,1264.92,ORB long stop7.32 trail0.11,
2026-07-06,09:50,IREN,long,ENTRY,15,44.12,661.75,ORB long stop41.78 trail1.81,
2026-07-06,09:50,DRAM,long,ENTRY,30,65.41,1962.30,ORB long stop64.31 trail0.65,
2026-07-06,10:00,DRAM,long,EXIT,30,65.07,,trail-stop,
2026-07-06,10:05,ONDS,long,EXIT,166,7.61,,trail-stop,
2026-07-06,10:05,VZ,short,ENTRY,26,42.18,1096.80,ORB short stop43.12 trail0.61,
2026-07-06,10:10,RIVN,long,ENTRY,47,19.43,913.21,ORB long stop18.39 trail0.53,
2026-07-06,10:10,NVDA,long,ENTRY,10,197.09,1970.90,ORB long stop194.00 trail1.97,
2026-07-06,12:30,VZ,short,EXIT,5,42.24,,trail-stop-partial,
2026-07-06,15:50,VZ,short,EXIT,21,42.14,,eod-flatten,
2026-07-06,15:55,IREN,long,EXIT,14,44.12,,trail-stop-partial,
2026-07-06,15:55,RIVN,long,EXIT,47,19.90,,trail-stop,
2026-07-06,15:55,NVDA,long,EXIT,10,196.40,,trail-stop,
2026-07-06,16:00,IREN,long,EXIT,1,43.88,,trail-stop,
2026-07-07,09:50,JOBY,short,ENTRY,153,8.48,1297.44,ORB short stop8.81 trail0.13,
2026-07-07,09:50,IREN,short,ENTRY,46,41.62,1914.52,ORB short stop42.67 trail1.01,
2026-07-07,09:55,WULF,short,ENTRY,45,20.75,933.75,ORB short stop21.87 trail0.53,
2026-07-07,09:55,OPEN,short,ENTRY,357,5.05,1802.85,ORB short stop5.19 trail0.09,
2026-07-07,10:30,OPEN,short,EXIT,357,5.01,,trail-stop,
2026-07-07,10:30,TSLA,short,ENTRY,4,409.46,1637.84,ORB short stop419.51 trail5.47,
2026-07-07,10:50,IREN,short,EXIT,46,40.19,,trail-stop,
2026-07-07,10:50,WULF,short,EXIT,45,19.63,,trail-stop,
2026-07-07,11:10,JOBY,short,EXIT,153,8.18,,trail-stop,
2026-07-07,12:55,TSLA,short,EXIT,4,409.85,,trail-stop,
2026-07-09,10:20,SMCI,short,ENTRY,67,28.37,1900.79,ORB short stop29.12 trail0.58,
2026-07-09,10:20,NVDA,short,ENTRY,10,199.62,1996.21,ORB short stop204.46 trail2.00,
2026-07-09,10:25,INTC,short,ENTRY,14,113.23,1585.22,ORB short stop116.55 trail3.01,
2026-07-09,10:30,SMCI,short,EXIT,67,28.77,,trail-stop,
2026-07-09,10:30,NOK,long,ENTRY,157,12.68,1990.76,ORB long stop12.39 trail0.17,
2026-07-09,10:35,DRAM,short,ENTRY,30,64.76,1942.91,ORB short stop66.10 trail0.99,
2026-07-09,13:10,NVDA,short,EXIT,10,201.04,,trail-stop,
2026-07-09,13:10,NOK,long,EXIT,157,12.68,,trail-stop,
2026-07-09,13:20,DRAM,short,EXIT,30,65.49,,trail-stop,
2026-07-10,09:50,TQQQ,long,ENTRY,26,76.36,1985.26,ORB long stop75.25 trail0.76,
2026-07-10,09:55,RIVN,long,ENTRY,107,18.69,1999.83,ORB long stop18.25 trail0.28,
2026-07-10,10:00,RIVN,long,EXIT,107,18.46,,trail-stop,
2026-07-10,10:15,MARA,short,ENTRY,50,12.69,634.50,ORB short stop13.68 trail0.29,
2026-07-10,10:15,OPEN,short,ENTRY,121,5.08,614.57,ORB short stop5.49 trail0.14,
2026-07-10,10:25,TQQQ,long,EXIT,26,75.77,,trail-stop,
2026-07-10,10:25,NOK,short,ENTRY,160,12.44,1990.40,ORB short stop12.62 trail0.13,
2026-07-10,10:50,MARA,short,EXIT,50,12.63,,trail-stop,
2026-07-10,10:55,WULF,short,ENTRY,21,22.03,462.63,ORB short stop23.64 trail0.54,
2026-07-10,11:30,NOK,short,EXIT,160,12.39,,trail-stop,
2026-07-10,12:40,WULF,short,EXIT,11,22.35,,trail-stop-partial,
2026-07-10,13:25,OPEN,short,EXIT,118,4.91,,trail-stop-partial,
2026-07-10,15:50,INTC,short,EXIT,14,109.81,,eod-flatten,
2026-07-10,15:50,OPEN,short,EXIT,3,4.78,,eod-flatten,
2026-07-10,15:55,WULF,short,EXIT,10,22.23,,trail-stop,
2026-07-13,09:55,NVDA,short,ENTRY,9,207.10,1863.87,ORB short stop210.54 trail2.19,
2026-07-13,10:05,NVDA,short,EXIT,9,209.20,,trail-stop,
2026-07-13,10:05,FRMI,short,ENTRY,149,6.44,959.56,ORB short stop6.78 trail0.24,
